price,num_bed,num_bath,property_size,km_from_cbd,suburb_lng,suburb_lat,suburb_population,suburb_median_income,type
575000,4,2,575,61.6,151.42855,-33.34073,8355,33852,3
377500,2,1,75,14.66,151.06765,-33.9234,10126,23036,0
1305000,1,1,70,2.61,151.22781,-33.88334,12911,73944,3
840000,4,2,536,32.26,150.87334,-33.94155,15313,36244,3
680000,4,2,450,33.46,150.87007,-33.76242,13451,27612,3
625000,3,2,487,56.07,151.46938,-33.40857,2900,35932,3
610000,4,1,594,48.41,150.69863,-33.7734,11790,37024,3
535000,2,1,543,61.6,151.42855,-33.34073,8355,33852,3
1375000,4,2,674,61.83,151.49762,-33.36239,530,29588,3
580000,3,1,736,39.76,150.78794,-33.79794,19897,38896,3
1538000,2,1,124,0.8,151.20425,-33.85966,1482,79300,3
990000,5,3,715,56.07,151.46938,-33.40857,2900,35932,3
645000,4,2,561,47.8,150.74372,-34.05177,7193,40352,3
630000,3,1,607,56.07,151.46938,-33.40857,2900,35932,3
598000,3,2,450,50.15,150.72519,-34.06839,4307,53196,3
570000,3,2,202,32.83,150.88065,-33.75523,6440,40768,2
498500,2,2,106,24.05,150.95681,-33.91492,9001,35880,0
1610000,4,3,868,11.02,151.18832,-33.76741,3711,47788,3
1308000,2,1,114,3.63,151.18298,-33.88889,10341,46228,3
1186000,3,1,417,14.29,151.1214,-33.97075,10722,32656,3
777500,4,2,459,32.26,150.87334,-33.94155,15313,36244,3
695000,1,1,55,5.0,151.19286,-33.82233,5495,72072,0
570000,3,1,790,48.41,150.69863,-33.7734,11790,37024,3
1060000,4,4,341,17.67,151.05799,-33.96181,10539,31876,2
750000,3,1,707,30.78,150.87759,-33.87884,9772,25376,3
1077000,4,2,391,56.07,151.46938,-33.40857,2900,35932,3
1000000,4,2,600,24.05,150.95681,-33.91492,9001,35880,3
560000,3,1,626,48.41,150.69863,-33.7734,11790,37024,3
520000,3,1,555,47.8,150.74372,-34.05177,7193,40352,3
315000,2,1,119,61.6,151.42855,-33.34073,8355,33852,0
850000,6,3,517,35.29,150.8557,-33.74778,5131,37960,3
749000,1,1,85,12.32,151.12627,-33.7788,8144,34216,0
721000,4,3,629,39.76,150.78794,-33.79794,19897,38896,3
693000,4,2,552,35.29,150.8557,-33.74778,5131,37960,3
670000,4,2,547,61.6,151.42855,-33.34073,8355,33852,3
560000,3,2,689,61.6,151.42855,-33.34073,8355,33852,3
